gas_case,ndc_scenario,year,gas_shadow_usd_per_twh_th
baseline,ndc3_unconditional,2044,0.0
baseline,ndc3_unconditional,2045,0.0
upside,ndc3_unconditional,2025,4292732100.0
upside,ndc3_unconditional,2026,0.0
upside,ndc3_unconditional,2027,0.0
upside,ndc3_unconditional,2028,0.0
upside,ndc3_unconditional,2029,0.0
upside,ndc3_unconditional,2030,0.0
upside,ndc3_unconditional,2031,0.0
upside,ndc3_unconditional,2032,0.0
upside,ndc3_unconditional,2033,0.0
upside,ndc3_unconditional,2034,0.0
upside,ndc3_unconditional,2035,0.0
upside,ndc3_unconditional,2036,0.0
upside,ndc3_unconditional,2037,0.0
upside,ndc3_unconditional,2038,0.0
upside,ndc3_unconditional,2039,0.0
upside,ndc3_unconditional,2040,0.0
upside,ndc3_unconditional,2041,0.0
upside,ndc3_unconditional,2042,0.0
upside,ndc3_unconditional,2043,0.0
upside,ndc3_unconditional,2044,0.0
upside,ndc3_unconditional,2045,0.0
downside,ndc3_unconditional,2025,4292732100.0
downside,ndc3_unconditional,2026,0.0
downside,ndc3_unconditional,2027,0.0
downside,ndc3_unconditional,2028,0.0
downside,ndc3_unconditional,2029,0.0
downside,ndc3_unconditional,2030,0.0
downside,ndc3_unconditional,2031,0.0
downside,ndc3_unconditional,2032,0.0
downside,ndc3_unconditional,2033,0.0
downside,ndc3_unconditional,2034,0.0
downside,ndc3_unconditional,2035,0.0
downside,ndc3_unconditional,2036,580903280.0
downside,ndc3_unconditional,2037,467112660.0
downside,ndc3_unconditional,2038,420028080.0
downside,ndc3_unconditional,2039,335645810.0
downside,ndc3_unconditional,2040,343312640.0
downside,ndc3_unconditional,2041,308631480.0
downside,ndc3_unconditional,2042,603248310.0
downside,ndc3_unconditional,2043,772085610.0
downside,ndc3_unconditional,2044,701896010.0
downside,ndc3_unconditional,2045,638087280.0
shock_recovery,ndc3_unconditional,2025,4292732100.0
shock_recovery,ndc3_unconditional,2026,0.0
shock_recovery,ndc3_unconditional,2027,0.0
shock_recovery,ndc3_unconditional,2028,0.0
shock_recovery,ndc3_unconditional,2029,0.0
shock_recovery,ndc3_unconditional,2030,0.0
shock_recovery,ndc3_unconditional,2031,0.0
shock_recovery,ndc3_unconditional,2032,0.0
shock_recovery,ndc3_unconditional,2033,0.0
shock_recovery,ndc3_unconditional,2034,0.0
shock_recovery,ndc3_unconditional,2035,0.0
shock_recovery,ndc3_unconditional,2036,0.0
shock_recovery,ndc3_unconditional,2037,0.0
shock_recovery,ndc3_unconditional,2038,0.0
shock_recovery,ndc3_unconditional,2039,0.0
shock_recovery,ndc3_unconditional,2040,0.0
shock_recovery,ndc3_unconditional,2041,0.0
shock_recovery,ndc3_unconditional,2042,0.0
shock_recovery,ndc3_unconditional,2043,0.0
shock_recovery,ndc3_unconditional,2044,0.0
shock_recovery,ndc3_unconditional,2045,0.0
